xVals,yVals,yErrs,modVals
6.805000066757202148e+00,4.623925257821042578e+01,6.330475979722112179e+00,3.231093524881880086e+01
6.914999961853027344e+00,4.155194296128079401e+01,6.092936925506319490e+00,3.074803149642326616e+01
7.024999856948852539e+00,4.105547986285414197e+01,6.151095015596384386e+00,2.927181745059060702e+01
7.134999990463256836e+00,2.446627528637707982e+01,4.812245710976721824e+00,2.787344526147811763e+01
7.245000123977661133e+00,2.619456486011327456e+01,5.056435654365929011e+00,2.655293850519754173e+01
7.355000019073486328e+00,3.399240442808559948e+01,5.851905190085212816e+00,2.530623958795246509e+01
7.464999914169311523e+00,3.604350060379968568e+01,6.116405610020935413e+00,2.412668296307849403e+01
7.575000047683715820e+00,1.696484036604740808e+01,4.248837411255836471e+00,2.301019371914966882e+01
7.684999942779541016e+00,3.382842868910199030e+01,6.096917562342424546e+00,2.195297659185321493e+01
7.794999837875366211e+00,3.143343886831600997e+01,5.959044338190044421e+00,2.095148021665093552e+01
7.904999971389770508e+00,2.770701815179089422e+01,5.670921150483160034e+00,2.000240296567330489e+01
8.019999980926513672e+00,2.287314106906962508e+01,5.003106704444640229e+00,1.906362200817963881e+01
8.144999980926513672e+00,1.555396603791360910e+01,4.022788081951881090e+00,1.810040301093183501e+01
8.275000095367431641e+00,2.033465022633810904e+01,4.675049697325350806e+00,1.715702933946684539e+01
8.405000209808349609e+00,1.656137253284550326e+01,4.283337888452329878e+00,1.626989221594206114e+01
8.535000324249267578e+00,1.252325195275879643e+01,3.780572326501166813e+00,1.543540406859490943e+01
8.670000076293945312e+00,7.635838617396816019e+00,2.888347609431713092e+00,1.462129455741822603e+01
8.804999828338623047e+00,1.696259794732588233e+01,4.540579555278319468e+00,1.385522270725398108e+01
8.940000057220458984e+00,6.958955733953271938e+00,2.842898797728172333e+00,1.313617716363683385e+01
9.079999923706054688e+00,1.316099315216316690e+01,3.973233466631114652e+00,1.243508593015865671e+01
9.219999790191650391e+00,9.869339805935711141e+00,3.492835682667260855e+00,1.177682998393944835e+01
9.360000133514404297e+00,8.900241275301706168e+00,3.367325841932061081e+00,1.115845848607022184e+01
9.510000228881835938e+00,1.033664699209886884e+01,3.450894109065549831e+00,1.053795195447534994e+01
9.664999961853027344e+00,6.327226337883648632e+00,2.832640091191114262e+00,9.936942086275148966e+00
9.815000057220458984e+00,9.136200595478427999e+00,3.459674009154722452e+00,9.393041844002539165e+00
